City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
276,Cabedelo,BR,2021-07-23 14:33:47,-6.9811,-34.8339,81.27,71,30,16.49
277,Ulladulla,AU,2021-07-23 14:31:41,-35.35,150.4667,49.1,88,95,3.49
278,Zyryanovsk,KZ,2021-07-23 14:33:47,49.7386,84.2719,68.99,73,9,1.9
279,Hualmay,PE,2021-07-23 14:33:48,-11.0964,-77.6139,67.05,72,15,8.16
280,Luohe,CN,2021-07-23 14:33:48,33.5717,114.0353,76.84,91,82,5.53
281,Trojes,AL,2021-07-23 14:33:48,41.756,19.962,82.89,30,1,4.7
282,Parkes,AU,2021-07-23 14:33:49,-33.1333,148.1833,50.36,88,100,8.93
283,Lumby,CA,2021-07-23 14:29:34,50.2498,-118.969,64.42,51,95,1.14
284,Ormara,PK,2021-07-23 14:33:49,25.2088,64.6357,82.8,85,75,11.27
285,Xining,CN,2021-07-23 14:31:03,36.6167,101.7667,68.61,57,33,3.53
286,Broken Hill,AU,2021-07-23 14:30:55,-31.95,141.4333,42.51,87,23,6.91
287,Canaries,ES,2021-07-23 14:33:49,28.0,-15.5,75.16,51,20,34.52
288,Port Hardy,CA,2021-07-23 14:30:07,50.6996,-127.4199,55.58,94,90,2.3
289,Mabaruma,GY,2021-07-23 14:30:50,8.2,-59.7833,89.06,54,94,4.7
290,Ponta Delgada,PT,2021-07-23 14:30:41,37.7333,-25.6667,72.32,78,40,17.27
291,Norman Wells,CA,2021-07-23 14:29:48,65.282,-126.8329,57.24,88,90,12.66
